Donation_Id,Donor_ID,Received_Date,Created_At,Amount,Deductible_Amount,Total_Donation_Amount,Fund,Donation_Type,Memo,Source,Transaction_Net,Letter_Sent,Email_Sent,Is_Company?
8807397,6772012,22-Jan-19,"Tuesday, January 22, 2019 at 09:55 PM",3000,3000,3000,General Support,Check,,Foundations/Grants/Government,3000,"Tuesday, January 22, 2019 at 09:55 PM",,TRUE
8812550,8207952,8-Jan-19,"Saturday, January 26, 2019 at 12:01 AM",285,285,285,General Support,Cash,,Corporate,285,"Saturday, January 26, 2019 at 12:02 AM",,TRUE
8814530,6949131,28-Jan-19,"Monday, January 28, 2019 at 08:40 PM",100,100,100,General Support,Check,,Individual Contributions,100,"Monday, January 28, 2019 at 08:41 PM",,FALSE
8816526,8304253,26-Jan-19,"Tuesday, January 29, 2019 at 06:20 PM",20,20,20,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,20,,,FALSE
8816533,8301586,26-Jan-19,"Tuesday, January 29, 2019 at 06:22 PM",83.33,83.33,83.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,83.33,,,FALSE
8816543,8304895,26-Jan-19,"Tuesday, January 29, 2019 at 06:25 PM",10,10,10,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,10,,,FALSE
8821414,6370302,29-Jan-19,"Friday, February 01, 2019 at 09:29 PM",100,100,100,Targeted Donations,Online Donation,Fundraising Expenses - Taking Donors Out,Individual Contributions,100,"Wednesday, February 06, 2019 at 08:06 PM",,FALSE
8821424,635138,1-Feb-19,"Friday, February 01, 2019 at 09:36 PM",20,20,20,General Support,Online Donation,Monthly,Individual Contributions,20,,,FALSE
8821427,3941259,1-Feb-19,"Friday, February 01, 2019 at 09:37 PM",50,50,50,General Support,Online Donation,Monthly,Individual Contributions,50,,,FALSE
8821429,6279279,1-Feb-19,"Friday, February 01, 2019 at 09:38 PM",25,25,25,General Support,Online Donation,Spring Appeal 2018 - Monthly,Individual Contributions,25,,,FALSE
8821557,8070715,1-Feb-19,"Friday, February 01, 2019 at 11:13 PM",100,100,100,General Support,Check,,Individual Contributions,100,,,FALSE
8821559,8070715,1-Feb-19,"Friday, February 01, 2019 at 11:13 PM",100,100,100,General Support,Check,,Individual Contributions,100,,,FALSE
8821563,8056975,1-Feb-19,"Friday, February 01, 2019 at 11:16 PM",100,100,100,General Support,Check,Autodesk match for Kyle Gilham donation,Foundations/Grants/Government,100,,,TRUE
8821567,8056975,1-Feb-19,"Friday, February 01, 2019 at 11:17 PM",100,100,100,General Support,Check,Autodesk match for Kyle Gilham donation,Foundations/Grants/Government,100,,,TRUE
8821569,6154796,1-Feb-19,"Friday, February 01, 2019 at 11:21 PM",100,100,100,General Support,Check,Rent February,Churches & Clubs,100,,,TRUE
8821571,8082147,1-Feb-19,"Friday, February 01, 2019 at 11:24 PM",28.37,28.37,28.37,General Support,Check,,Corporate,28.37,,,TRUE
8821572,491194,1-Feb-19,"Friday, February 01, 2019 at 11:27 PM",3070,3070,3070,General Support,Check,,Churches & Clubs,3070,,,TRUE
8821573,491151,1-Feb-19,"Friday, February 01, 2019 at 11:29 PM",100,100,100,General Support,Check,Volunteer/Donor Appreciation Party,Individual Contributions,100,,,FALSE
8821575,491233,1-Feb-19,"Friday, February 01, 2019 at 11:32 PM",100,100,100,General Support,Check,Volunteer/Donor Appreciation Party,Individual Contributions,100,,,FALSE
8821579,6173346,1-Feb-19,"Friday, February 01, 2019 at 11:38 PM",100,100,100,General Support,Check,Volunteer/Donor Appreciation Party,Individual Contributions,100,,,FALSE
8828499,6928123,6-Feb-19,"Wednesday, February 06, 2019 at 07:49 PM",100,100,100,General Support,Online Donation,Monthly,Corporate,100,,,TRUE
8828504,1098438,6-Feb-19,"Wednesday, February 06, 2019 at 07:51 PM",108.33,108.33,108.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,108.33,,,FALSE
8828598,8262524,6-Feb-19,"Wednesday, February 06, 2019 at 08:50 PM",50,50,50,General Support,Check,Cannot attend Thank You party,Individual Contributions,50,,,FALSE
8828603,5780124,6-Feb-19,"Wednesday, February 06, 2019 at 08:53 PM",65,65,65,General Support,Check,Employee contributions,Individual Contributions,65,,,TRUE
8828608,6740768,6-Feb-19,"Wednesday, February 06, 2019 at 08:58 PM",60,60,60,General Support,Check,Employee giving,Individual Contributions,60,,,FALSE
8828611,8202655,6-Feb-19,"Wednesday, February 06, 2019 at 09:00 PM",30,30,30,General Support,Check,Employee giving,Individual Contributions,30,,,FALSE
8834003,6963765,8-Feb-19,"Monday, February 11, 2019 at 08:31 PM",250,250,250,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,250,,,FALSE
8834184,7716745,9-Feb-19,"Monday, February 11, 2019 at 08:35 PM",104.16,104.16,104.16,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,104.16,,,FALSE
8834188,8197929,9-Feb-19,"Monday, February 11, 2019 at 08:37 PM",250,250,250,General Support,Online Donation,Monthly,Individual Contributions,250,,,FALSE
8834284,8419347,10-Feb-19,"Monday, February 11, 2019 at 09:16 PM",120,120,120,General Support,Online Donation,,Individual Contributions,120,"Monday, February 11, 2019 at 09:17 PM",,FALSE
8834309,6867515,11-Feb-19,"Monday, February 11, 2019 at 09:30 PM",41.66,41.66,41.66,General Support,Online Donation,Monthly,Individual Contributions,41.66,,,FALSE
8835605,6154809,11-Feb-19,"Tuesday, February 12, 2019 at 07:00 PM",456.5,456.5,456.5,General Support,Check,2018 YEA,Churches & Clubs,456.5,,,TRUE
8835616,491179,11-Feb-19,"Tuesday, February 12, 2019 at 07:05 PM",100,100,100,General Support,Check,Monthly,Individual Contributions,100,,,FALSE
8841600,6590912,17-Feb-19,"Monday, February 18, 2019 at 05:26 PM",22,22,22,General Support,Online Donation,Monthly,Individual Contributions,22,,,FALSE
8841604,6759108,17-Feb-19,"Monday, February 18, 2019 at 05:28 PM",83.33,83.33,83.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,83.33,,,FALSE
8845469,7516801,21-Feb-19,"Thursday, February 21, 2019 at 11:23 PM",75,75,75,General Support,Check,,Corporate,75,"Thursday, February 21, 2019 at 11:27 PM",,FALSE
8845492,5780124,21-Feb-19,"Thursday, February 21, 2019 at 11:34 PM",4888,4888,4888,General Support,Check,Warming Shelter Funds,Foundations/Grants/Government,4888,,,TRUE
8845500,6154754,21-Feb-19,"Thursday, February 21, 2019 at 11:38 PM",40,40,40,General Support,Check,,Individual Contributions,40,"Thursday, February 21, 2019 at 11:38 PM",,FALSE
8845504,8056975,21-Feb-19,"Thursday, February 21, 2019 at 11:43 PM",100,100,100,General Support,Check,Autodesk match for Kyle Gilham donation,Foundations/Grants/Government,100,,,TRUE
8845506,8070715,21-Feb-19,"Thursday, February 21, 2019 at 11:45 PM",100,100,100,General Support,Check,,Individual Contributions,100,,,FALSE
8846126,7369459,22-Feb-19,"Friday, February 22, 2019 at 06:40 PM",100,100,100,General Support,Online Donation,Monthly,Individual Contributions,100,,,FALSE
8848870,6856809,25-Feb-19,"Monday, February 25, 2019 at 06:43 PM",7239.52,7239.52,7239.52,General Support,Check,Tiffany paycheck,Foundations/Grants/Government,7239.52,,,TRUE
8851115,8301586,26-Feb-19,"Tuesday, February 26, 2019 at 09:48 PM",83.33,83.33,83.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,83.33,,,FALSE
8851127,8304253,26-Feb-19,"Tuesday, February 26, 2019 at 09:54 PM",20,20,20,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,20,,,FALSE
8851295,8424472,26-Feb-19,"Tuesday, February 26, 2019 at 11:51 PM",136,136,136,Targeted Donations,Check,Food Market funds from community partner night,Corporate,136,"Tuesday, February 26, 2019 at 11:51 PM",,TRUE
8851939,6282876,27-Feb-19,"Wednesday, February 27, 2019 at 06:55 PM",40,40,40,Targeted Donations,Cash,Food Market funds,Individual Contributions,40,"Tuesday, March 05, 2019 at 10:30 PM",,FALSE
8854530,635138,1-Mar-19,"Friday, March 01, 2019 at 06:03 PM",20,20,20,General Support,Online Donation,Monthly,Individual Contributions,20,,,FALSE
8854535,3941259,1-Mar-19,"Friday, March 01, 2019 at 06:04 PM",50,50,50,General Support,Online Donation,Monthly,Individual Contributions,50,,,FALSE
8854538,6279279,1-Mar-19,"Friday, March 01, 2019 at 06:05 PM",25,25,25,General Support,Online Donation,Spring Appeal 2018 - Monthly,Individual Contributions,25,,,FALSE
8859002,491151,10-Feb-19,"Tuesday, March 05, 2019 at 09:52 PM",79.05,79.05,79.05,General Support,In Kind,Volunteer / Donor Appreciation Party,Individual Contributions,79.05,"Tuesday, March 05, 2019 at 10:00 PM",,FALSE
8859011,6235572,10-Feb-19,"Tuesday, March 05, 2019 at 10:07 PM",25000,25000,25000,General Support,Check,,Foundations/Grants/Government,25000,,,TRUE
8859014,6154796,5-Mar-19,"Tuesday, March 05, 2019 at 10:09 PM",100,100,100,General Support,Check,Rent March,Churches & Clubs,100,,,TRUE
8859016,3488105,5-Mar-19,"Tuesday, March 05, 2019 at 10:12 PM",100,100,100,General Support,Check,Volunteer / Donor Appreciation Party,Individual Contributions,100,"Tuesday, March 05, 2019 at 10:32 PM",,FALSE
8859017,8304975,5-Mar-19,"Tuesday, March 05, 2019 at 10:14 PM",100,100,100,General Support,Check,Volunteer / Donor Appreciation Party,Individual Contributions,100,"Tuesday, March 05, 2019 at 10:34 PM",,FALSE
8859021,5780124,5-Mar-19,"Tuesday, March 05, 2019 at 10:18 PM",65,65,65,General Support,Check,Employee contributions,Individual Contributions,65,,,TRUE
8859029,491194,5-Feb-19,"Tuesday, March 05, 2019 at 10:24 PM",675,675,675,General Support,Check,,Churches & Clubs,675,,,TRUE
8859033,7702449,5-Mar-19,"Tuesday, March 05, 2019 at 10:28 PM",286,286,286,General Support,Check,,Individual Contributions,286,,,TRUE
8860367,6928123,6-Mar-19,"Wednesday, March 06, 2019 at 11:18 PM",100,100,100,General Support,Online Donation,Monthly,Corporate,100,,,TRUE
8860369,1098438,6-Mar-19,"Wednesday, March 06, 2019 at 11:20 PM",108.33,108.33,108.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,108.33,,,FALSE
8863408,6963765,8-Mar-19,"Friday, March 08, 2019 at 08:13 PM",250,250,250,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,250,,,FALSE
8863417,7716306,8-Mar-19,"Friday, March 08, 2019 at 08:18 PM",1319,1319,1319,General Support,Check,Dutch Luv Day 2019,Corporate,1319,"Friday, March 08, 2019 at 08:19 PM",,FALSE
8874680,2621695,19-Mar-19,"Tuesday, March 19, 2019 at 05:56 PM",14000,14000,14000,Targeted Donations,Check,Walk In Freezer,Churches & Clubs,14000,"Tuesday, March 19, 2019 at 05:58 PM",,TRUE
8874743,491144,19-Mar-19,"Tuesday, March 19, 2019 at 06:38 PM",100,100,100,General Support,Check,,Individual Contributions,100,"Tuesday, March 19, 2019 at 06:39 PM",,FALSE
8874746,491220,19-Mar-19,"Tuesday, March 19, 2019 at 06:40 PM",3037.06,3037.06,3037.06,General Support,Check,,Corporate,3037.06,,,TRUE
8874747,491220,19-Mar-19,"Tuesday, March 19, 2019 at 06:41 PM",3000,3000,3000,Targeted Donations,Check,Food purchase due to gov't shutdown,Corporate,3000,,,TRUE
8874748,7516801,19-Mar-19,"Tuesday, March 19, 2019 at 06:43 PM",75,75,75,General Support,Check,,Corporate,75,"Tuesday, March 19, 2019 at 06:44 PM",,FALSE
8882938,616582,26-Mar-19,"Tuesday, March 26, 2019 at 07:12 PM",50,50,50,General Support,Check,,Churches & Clubs,50,,,TRUE
8882944,8070715,26-Mar-19,"Tuesday, March 26, 2019 at 07:15 PM",100,100,100,General Support,Check,,Individual Contributions,100,,,FALSE
8882951,8056975,26-Mar-19,"Tuesday, March 26, 2019 at 07:19 PM",100,100,100,General Support,Check,Autodesk match for Kyle Gilham donation,Foundations/Grants/Government,100,,,TRUE
8882972,6740768,26-Mar-19,"Tuesday, March 26, 2019 at 07:33 PM",60,60,60,General Support,Check,Employee giving,Individual Contributions,60,,,FALSE
8882977,8202655,26-Mar-19,"Tuesday, March 26, 2019 at 07:35 PM",30,30,30,General Support,Check,Employee giving,Individual Contributions,30,,,FALSE
8889116,6370302,9-Mar-19,"Monday, April 01, 2019 at 06:35 PM",25,25,25,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,25,,,FALSE
8889134,8197929,9-Mar-19,"Monday, April 01, 2019 at 06:42 PM",250,250,250,General Support,Online Donation,Monthly,Individual Contributions,250,,,FALSE
8889166,6867515,11-Mar-19,"Monday, April 01, 2019 at 06:59 PM",41.66,41.66,41.66,General Support,Online Donation,Monthly,Individual Contributions,41.66,,,FALSE
8889172,6590912,17-Mar-19,"Monday, April 01, 2019 at 07:00 PM",22,22,22,General Support,Online Donation,Monthly,Individual Contributions,22,,,FALSE
8889179,6759108,17-Mar-19,"Monday, April 01, 2019 at 07:04 PM",83.33,83.33,83.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,83.33,,,FALSE
8889182,7369459,22-Mar-19,"Monday, April 01, 2019 at 07:06 PM",100,100,100,General Support,Online Donation,Monthly,Individual Contributions,100,,,FALSE
8889195,8437328,22-Mar-19,"Monday, April 01, 2019 at 07:12 PM",100,100,100,General Support,Online Donation,,Individual Contributions,100,"Thursday, April 04, 2019 at 08:56 PM",,FALSE
8890515,8304253,26-Mar-19,"Tuesday, April 02, 2019 at 05:31 PM",20,20,20,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,20,,,FALSE
8890516,8301586,26-Mar-19,"Tuesday, April 02, 2019 at 05:33 PM",83.33,83.33,83.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,83.33,,,FALSE
8890519,635138,1-Apr-19,"Tuesday, April 02, 2019 at 05:34 PM",20,20,20,General Support,Online Donation,Monthly,Individual Contributions,20,,,FALSE
8890520,3941259,1-Apr-19,"Tuesday, April 02, 2019 at 05:35 PM",50,50,50,General Support,Online Donation,Monthly,Individual Contributions,50,,,FALSE
8890523,6279279,1-Apr-19,"Tuesday, April 02, 2019 at 05:36 PM",25,25,25,General Support,Online Donation,Spring Appeal 2018 - Monthly,Individual Contributions,25,,,FALSE
8897690,6928123,6-Apr-19,"Monday, April 08, 2019 at 05:02 PM",100,100,100,General Support,Online Donation,Monthly,Corporate,100,,,TRUE
8897722,1098438,6-Apr-19,"Monday, April 08, 2019 at 05:29 PM",108.33,108.33,108.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,108.33,,,FALSE
8897724,6963765,8-Apr-19,"Monday, April 08, 2019 at 05:30 PM",250,250,250,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,250,,,FALSE
8899767,7716745,9-Mar-19,"Tuesday, April 09, 2019 at 07:07 PM",104.16,104.16,104.16,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,104.16,,,FALSE
8899768,7716745,9-Apr-19,"Tuesday, April 09, 2019 at 07:07 PM",104.16,104.16,104.16,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,104.16,,,FALSE
8899771,6370302,9-Apr-19,"Tuesday, April 09, 2019 at 07:08 PM",25,25,25,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,25,,,FALSE
8899772,8197929,9-Apr-19,"Tuesday, April 09, 2019 at 07:09 PM",250,250,250,General Support,Online Donation,Monthly,Individual Contributions,250,,,FALSE
8901286,6607051,6-Apr-19,"Wednesday, April 10, 2019 at 10:45 PM",100,100,100,General Support,Check,Volunteer/Donor Appreciation Party,Individual Contributions,100,,,FALSE
8901288,6949131,10-Apr-19,"Wednesday, April 10, 2019 at 10:47 PM",250,250,250,General Support,Online Donation,Food Market funds,Individual Contributions,250,"Thursday, April 11, 2019 at 08:51 PM",,FALSE
8901289,5780124,25-Mar-19,"Wednesday, April 10, 2019 at 10:50 PM",65,65,65,General Support,Online Donation,Employee contributions,Individual Contributions,65,,,TRUE
8901290,6856809,26-Mar-19,"Wednesday, April 10, 2019 at 10:53 PM",3697.54,3697.54,3697.54,General Support,Check,Tiffany paycheck,Foundations/Grants/Government,3697.54,,,TRUE
8901292,6154796,2-Apr-19,"Wednesday, April 10, 2019 at 10:56 PM",100,100,100,General Support,Check,Rent April,Churches & Clubs,100,,,TRUE
8902380,6867515,11-Apr-19,"Thursday, April 11, 2019 at 08:18 PM",41.66,41.66,41.66,General Support,Online Donation,Monthly,Individual Contributions,41.66,,,FALSE
8902413,7571547,11-Apr-19,"Thursday, April 11, 2019 at 08:38 PM",5000,5000,5000,General Support,Check,,Individual Contributions,5000,"Thursday, April 11, 2019 at 08:53 PM",,FALSE
8903362,5780124,12-Apr-19,"Friday, April 12, 2019 at 06:27 PM",11752,11752,11752,General Support,Check,Warming Shelter Funds,Foundations/Grants/Government,11752,,,TRUE
8903391,2930120,12-Apr-19,"Friday, April 12, 2019 at 06:37 PM",9373,9373,9373,Targeted Donations,Check,New Walk-In Freezer,Foundations/Grants/Government,9373,,,TRUE
8908385,6590912,17-Apr-19,"Wednesday, April 17, 2019 at 05:56 PM",22,22,22,General Support,Online Donation,Monthly,Individual Contributions,22,,,FALSE
8913793,8070715,8-Apr-19,"Monday, April 22, 2019 at 07:17 PM",100,100,100,General Support,YourCause Direct Deposit,,Individual Contributions,100,,,FALSE
8913794,491150,15-Mar-19,"Monday, April 22, 2019 at 07:17 PM",50,50,50,General Support,Check,,Individual Contributions,50,,,FALSE
8913827,8056975,8-Apr-19,"Monday, April 22, 2019 at 07:30 PM",100,100,100,General Support,YourCause Direct Deposit,Autodesk match for Kyle Gilham donation,Foundations/Grants/Government,100,,,TRUE
8916263,7369459,22-Apr-19,"Wednesday, April 24, 2019 at 07:35 PM",100,100,100,General Support,Online Donation,Monthly,Individual Contributions,100,,,FALSE
8918333,8301586,26-Apr-19,"Friday, April 26, 2019 at 07:26 PM",83.33,83.33,83.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,83.33,,,FALSE
8918335,8304253,26-Apr-19,"Friday, April 26, 2019 at 07:27 PM",20,20,20,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,20,,,FALSE
8920486,616582,26-Apr-19,"Monday, April 29, 2019 at 11:32 PM",85,85,85,General Support,Check,,Churches & Clubs,85,,,TRUE
8920487,7702449,26-Apr-19,"Monday, April 29, 2019 at 11:33 PM",35,35,35,General Support,Check,,Individual Contributions,35,,,TRUE
8920488,6154796,26-Apr-19,"Monday, April 29, 2019 at 11:35 PM",100,100,100,General Support,Check,Rent May,Churches & Clubs,100,,,TRUE
8920490,811527,29-Apr-19,"Monday, April 29, 2019 at 11:36 PM",250,250,250,General Support,Check,,Individual Contributions,250,"Thursday, May 02, 2019 at 07:47 PM",,FALSE
8920492,5780124,29-Apr-19,"Monday, April 29, 2019 at 11:37 PM",65,65,65,General Support,Check,Employee contributions,Individual Contributions,65,,,TRUE
8920494,5780124,29-Apr-19,"Monday, April 29, 2019 at 11:38 PM",9510,9510,9510,General Support,Check,Blueprint for a Healthy Clackamas County Grant,Foundations/Grants/Government,9510,,,TRUE
8923011,2378397,1-May-19,"Wednesday, May 01, 2019 at 09:33 PM",100,100,100,General Support,Cash,,Individual Contributions,100,,,FALSE
8923016,8447540,1-May-19,"Wednesday, May 01, 2019 at 09:36 PM",25,25,25,General Support,Check,,Individual Contributions,25,"Wednesday, May 01, 2019 at 09:38 PM",,FALSE
8923020,8447542,1-May-19,"Wednesday, May 01, 2019 at 09:42 PM",100,100,100,General Support,Check,,Individual Contributions,100,"Wednesday, May 01, 2019 at 09:43 PM",,FALSE
8923022,8447543,27-Apr-19,"Wednesday, May 01, 2019 at 09:52 PM",22,22,22,General Support,Online Donation,,Individual Contributions,22,"Wednesday, May 01, 2019 at 09:53 PM",,FALSE
8925315,635138,1-May-19,"Friday, May 03, 2019 at 06:13 PM",20,20,20,General Support,Online Donation,Monthly,Individual Contributions,20,,,FALSE
8925317,3941259,1-May-19,"Friday, May 03, 2019 at 06:14 PM",50,50,50,General Support,Online Donation,Monthly,Individual Contributions,50,,,FALSE
8925324,6279279,1-May-19,"Friday, May 03, 2019 at 06:17 PM",25,25,25,General Support,Online Donation,Spring Appeal 2018 - Monthly,Individual Contributions,25,,,FALSE
8927504,6928123,6-May-19,"Monday, May 06, 2019 at 05:30 PM",100,100,100,General Support,Online Donation,Monthly,Corporate,100,,,TRUE
8927507,1098438,6-May-19,"Monday, May 06, 2019 at 05:31 PM",108.33,108.33,108.33,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,108.33,,,FALSE
8927722,491132,6-May-19,"Monday, May 06, 2019 at 08:51 PM",50,50,50,General Support,Check,,Individual Contributions,50,,,FALSE
8927723,1461950,25-Apr-19,"Monday, May 06, 2019 at 08:54 PM",100,100,100,General Support,Check,,Individual Contributions,100,,,FALSE
8927724,8272839,6-May-19,"Monday, May 06, 2019 at 08:56 PM",12000,12000,12000,General Support,Check,Trauma-Informed Acoustics,Foundations/Grants/Government,12000,,,TRUE
8927725,7199761,6-May-19,"Monday, May 06, 2019 at 08:58 PM",500,500,500,General Support,Check,,Churches & Clubs,500,,,TRUE
8927726,5780124,6-May-19,"Monday, May 06, 2019 at 09:00 PM",20956,20956,20956,General Support,Check,Warming Shelter,Foundations/Grants/Government,20956,,,TRUE
8927847,8448786,28-Jan-19,"Tuesday, May 07, 2019 at 12:09 AM",245,245,245,General Support,Direct Deposit,,Individual Contributions,245,,,FALSE
8931850,6963765,8-May-19,"Wednesday, May 08, 2019 at 09:51 PM",250,250,250,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,250,,,FALSE
8933394,8197929,9-May-19,"Thursday, May 09, 2019 at 10:16 PM",250,250,250,General Support,Online Donation,Monthly,Individual Contributions,250,,,FALSE
8933399,7716745,9-May-19,"Thursday, May 09, 2019 at 10:18 PM",104.16,104.16,104.16,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,104.16,,,FALSE
8933406,6370302,9-May-19,"Thursday, May 09, 2019 at 10:19 PM",25,25,25,General Support,Online Donation,HH PR 2018 - Monthly,Individual Contributions,25,,,FALSE
8938231,4558356,12-Apr-19,"Monday, May 13, 2019 at 08:35 PM",25,25,25,General Support,Check,,Individual Contributions,25,,,FALSE
8938279,4558356,13-May-19,"Monday, May 13, 2019 at 09:08 PM",25,25,25,General Support,Check,,Individual Contributions,25,,,FALSE
8938343,6867515,11-May-19,"Monday, May 13, 2019 at 09:39 PM",41.66,41.66,41.66,General Support,Online Donation,Monthly,Individual Contributions,41.66,,,FALSE
8938350,6569165,13-May-19,"Monday, May 13, 2019 at 09:44 PM",500,500,500,General Support,Check,,Corporate,500,"Thursday, May 16, 2019 at 08:06 PM",,FALSE
8938355,6856809,13-May-19,"Monday, May 13, 2019 at 09:57 PM",4609.8,4609.8,4609.8,General Support,Check,Tiffany paycheck,Foundations/Grants/Government,4609.8,,,TRUE
8938360,1603902,13-May-19,"Monday, May 13, 2019 at 10:07 PM",2500,2500,2500,General Support,Check,,Foundations/Grants/Government,2500,,,TRUE
8938364,6154959,13-May-19,"Monday, May 13, 2019 at 10:14 PM",50,50,50,General Support,Check,Employee giving match,Corporate,50,,,TRUE
